dim,scale,method,w,c,sum_c,grid_type,basis_type,method_type,n_samples,seed,f_name,ell_2_error,ell_infty_error,needed_time
11,1,Smolyak,"[0.2471 ,0.15954,0.87178,0.21921,0.97587,0.3369 ,0.18212,0.7897 ,0.65871, 0.4982 ,0.55536]","[1.5006 ,0.47667,2.07883,2.03389,1.35689,0.41634,1.41928,0.15064,0.06396, 0.53765,0.96525]",11.0,SPARSE,CHEBYSHEV,TASMANIAN,23,42,CONTINUOUS,0.0187696006856918,0.0930585363115464,0.232
11,1,Smolyak,"[0.86827,0.72717,0.74271,0.42549,0.34593,0.37104,0.98765,0.04011,0.86703, 0.57868,0.43862]","[1.19886,0.80447,1.44378,1.48887,0.69711,0.4576 ,0.97916,1.50815,0.34823, 1.02977,1.04398]",11.0,SPARSE,CHEBYSHEV,TASMANIAN,23,42,CONTINUOUS,0.0113084563437165,0.062521548727113,0.232
11,1,Smolyak,"[0.73311,0.13157,0.71582,0.90903,0.17968,0.23754,0.9714 ,0.18098,0.85439, 0.49228,0.24723]","[1.7267 ,0.88304,1.02089,0.71236,1.17582,0.32427,0.77552,1.92235,0.51188, 1.30231,0.64485]",11.0,SPARSE,CHEBYSHEV,TASMANIAN,23,42,CONTINUOUS,0.0175963881476638,0.0906465311218966,0.232
11,1,Smolyak,"[0.77347,0.13087,0.96982,0.45379,0.23605,0.0735 ,0.16976,0.51977,0.337  , 0.82888,0.43089]","[0.50028,1.24137,1.42166,0.336  ,0.33716,0.07376,1.48125,1.33522,0.9547 , 1.69802,1.62058]",11.0,SPARSE,CHEBYSHEV,TASMANIAN,23,42,CONTINUOUS,0.0128225393178276,0.0719910364117013,0.232
11,1,Smolyak,"[0.58535,0.86827,0.20584,0.11192,0.26975,0.05709,0.53117,0.93661,0.03934, 0.12211,0.4522 ]","[1.6145 ,0.54658,0.87692,0.07187,0.25646,1.70571,1.66852,0.00854,1.64551, 1.10492,1.50047]",11.0,SPARSE,CHEBYSHEV,TASMANIAN,23,42,CONTINUOUS,0.0119678808183818,0.0679927800605486,0.232
11,1,Smolyak,"[0.45474,0.5156 ,0.48885,0.66686,0.13965,0.02997,0.30793,0.70468,0.20185, 0.67343,0.96991]","[0.1582 ,1.13316,0.74761,1.4626 ,0.29845,1.1669 ,1.41201,1.59144,1.1511 , 0.83761,1.04092]",11.0,SPARSE,CHEBYSHEV,TASMANIAN,23,42,CONTINUOUS,0.013592382293699,0.0624187315421512,0.232
11,1,Smolyak,"[0.8689 ,0.57061,0.03039,0.93095,0.68953,0.67651,0.21568,0.65889,0.39386, 0.65123,0.10659]","[0.98711,1.49964,0.07234,1.46627,0.61057,1.30658,1.17398,0.85082,1.10805, 1.31823,0.60642]",11.0,SPARSE,CHEBYSHEV,TASMANIAN,23,42,CONTINUOUS,0.0130883603972753,0.0661185464224574,0.232
11,1,Smolyak,"[0.32703,0.66759,0.80785,0.76229,0.79781,0.43558,0.81783,0.12021,0.54449, 0.00576,0.32459]","[0.90014,0.97312,1.70828,0.95442,1.10213,0.58348,0.91682,0.55824,0.17979, 1.48225,1.64133]",11.0,SPARSE,CHEBYSHEV,TASMANIAN,23,42,CONTINUOUS,0.0172582429993485,0.0876947029993149,0.232
11,1,Smolyak,"[0.61949,0.46349,0.37979,0.86333,0.51908,0.47918,0.02564,0.34125,0.3802 , 0.39882,0.58017]","[0.95285,1.08553,1.36584,1.45174,1.28234,1.70626,0.03256,0.3496 ,0.0135 , 1.15619,1.6036 ]",11.0,SPARSE,CHEBYSHEV,TASMANIAN,23,42,CONTINUOUS,0.0240637726973243,0.06118167910365,0.232
11,1,Smolyak,"[0.24348,0.92703,0.06027,0.93444,0.35162,0.10142,0.48587,0.25678,0.28487, 0.30729,0.80303]","[1.30236,0.75197,1.47427,1.72988,0.65853,0.99894,0.29442,0.43757,1.64525, 0.43827,1.26854]",11.0,SPARSE,CHEBYSHEV,TASMANIAN,23,42,CONTINUOUS,0.0178519555411078,0.0857419182667591,0.232
